File,Result
P008.pdf,Yes
P016.pdf,Yes
P018.pdf,Yes
P024.pdf,Yes
P038.pdf,No
P041.pdf,No
P062.pdf,Yes
P064.pdf,Yes
P068.pdf,Yes
P081.pdf,No
P090.pdf,Yes
P116.pdf,Yes
P121.pdf,Yes
P126.pdf,Yes
P132.pdf,No
P022.pdf,No
P026.pdf,No
P028.pdf,Yes
P033.pdf,Yes
P039.pdf,No
P048.pdf,No
P069.pdf,No
P070.pdf,No
P077.pdf,No
P078.pdf,Yes
P118.pdf,Yes
P125.pdf,Yes
P130.pdf,Yes
P133.pdf,Yes
P134.pdf,No
P027.pdf,Yes
P031.pdf,Yes
P032.pdf,No
P036.pdf,No
P043.pdf,No
P047.pdf,No
P073.pdf,No
P086.pdf,No
P094.pdf,No
P097.pdf,No
P102.pdf,Yes
P104.pdf,Yes
P105.pdf,No
P128.pdf,Yes
P129.pdf,No
P002.pdf,No
P007.pdf,Yes
P013.pdf,Yes
P023.pdf,Yes
P045.pdf,Yes
P050.pdf,Yes
P053.pdf,No
P056.pdf,No
P066.pdf,Yes
P074.pdf,Yes
P075.pdf,Yes
P080.pdf,Yes
P096.pdf,No
P100.pdf,No
P119.pdf,No
P001.pdf,Yes
P003.pdf,No
P005.pdf,Yes
P017.pdf,Yes
P020.pdf,No
P029.pdf,Yes
P051.pdf,Yes
P060.pdf,Yes
P067.pdf,Yes
P071.pdf,Yes
P087.pdf,Yes
P098.pdf,No
P108.pdf,Yes
P110.pdf,Yes
P123.pdf,Yes
P006.pdf,No
P015.pdf,Yes
P035.pdf,No
P037.pdf,Yes
P065.pdf,Yes
P076.pdf,No
P088.pdf,Yes
P091.pdf,Yes
P092.pdf,Yes
P099.pdf,Yes
P106.pdf,No
P107.pdf,No
P111.pdf,Yes
P120.pdf,Yes
P124.pdf,Yes
P009.pdf,Yes
P011.pdf,Yes
P019.pdf,Yes
P021.pdf,Yes
P025.pdf,Yes
P030.pdf,Yes
P034.pdf,Yes
P040.pdf,Yes
P044.pdf,Yes
P082.pdf,Yes
P085.pdf,Yes
P093.pdf,Yes
P117.pdf,Yes
P122.pdf,Yes
P127.pdf,Yes
P010.pdf,Yes
P042.pdf,Yes
P046.pdf,Yes
P052.pdf,Yes
P055.pdf,Yes
P057.pdf,Yes
P063.pdf,Yes
P079.pdf,Yes
P083.pdf,Yes
P084.pdf,Yes
P103.pdf,Yes
P109.pdf,Yes
P115.pdf,Yes
P131.pdf,Yes
P135.pdf,Yes
P004.pdf,Yes
P012.pdf,Yes
P014.pdf,Yes
P049.pdf,Yes
P054.pdf,Yes
P058.pdf,Yes
P059.pdf,Yes
P061.pdf,Yes
P072.pdf,Yes
P089.pdf,Yes
P095.pdf,Yes
P101.pdf,Yes
P112.pdf,Yes
P113.pdf,Yes
P114.pdf,Yes